statesBorn,A,B,C,D,E,F,G,H,J,K,L,M
A,2,1,3,1,1,0,0,0,0,0,0,0
B,1,10,5,1,1,0,5,1,0,1,0,0
C,4,18,148,39,12,4,26,1,1,0,1,0
D,3,8,35,159,6,1,26,0,0,0,0,1
E,0,2,7,4,9,1,5,0,0,0,0,1
F,0,2,7,4,9,1,5,0,0,0,1
G,0,0,3,1,4,1,5,0,0,0,0,0
H,0,0,2,0,0,0,0,0,0,0,0,0
J,0,0,0,2,0,0,0,0,0,0,0,0
K,0,3,3,2,0,0,2,0,0,2,0,0
L,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,0,0,0,0,0,0,0,0
